company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,founder3,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Fasal,Agriculture,AgTech,Bengaluru,Karnataka,Fasal is an AI-powered IoT-SaaS platform for horticulture that simplifies the process of cultivating crops.,560008,Less than $1M,"Jan 11, 2018",fasal.co,5,Ananda Verma,Dhaval Chaudhary,Shailendra Tiwari,51-100,8,Early Stage Venture,"Dec 22, 2023","₹1,000,000,000",Series A,"$13,951,090",Animoca Brands,Artesian VC,ITI Growth Opportunities Fund,British International Investment,Omnivore,20
Zupee,Apps,Digital Entertainment,Gurgaon,Haryana,Zupee is an online gaming company that develops real money-earning skill-based games.,122016,$10M to $50M,2018,www.zupee.com/,2,Dilsher Singh,Siddhant Saurabh,,101-250,5,Early Stage Venture,"Jan 5, 2022","$72,000,000",Series B,"$120,999,708",Alpha Wave Global,Matrix Partners India,Orios Venture Partners,Tomales Bay Capital,Smile Group,8
OTO Capital,Automotive,Finance,Mumbai,Maharashtra,OTO Capital is a digital commerce and lending platform that provides affordable plans to purchase motor bicycles.,400076,$1M to $10M,2018,otocapital.in,2,Harsh Saruparia,Sumit Chhazed,,251-500,7,—,"Feb 6, 2024","₹830,000,000",Venture - Series Unknown,"$20,331,221",500 Global,Venture Catalysts,9Unicorns Accelerator Fund,Matrix Partners India,Stride Ventures,20
Metafin,CleanTech,Financial Services,Parel,Maharashtra,Metafin is an operator of a non banking financial company intended to offer cleantech focused lending services for retail customers.,400013,—,2018,www.metafin.in/,—,,,,,2,Early Stage Venture,"Feb 7, 2024","₹420,000,000",Series A,"₹440,000,000",Venture Catalysts,Prime Venture Partners,Varanium Capital Advisors,,,3
Karkhana.io,3D Printing,Manufacturing,Mumbai,Maharashtra,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,—,$1M to $10M,2018,karkhana.io/,1,Sonam Motwani,,,Nov-50,3,Early Stage Venture,"Jan 9, 2024","$6,300,000",Series A,"$7,800,000",Arkam Ventures,Vertex Ventures Southeast Asia & India,SIG venture capital,Zone Startups In,,4
VRO Hospitality,Hospitality,Hotel,Bangalore,Karnataka,"VRO Hospitality operates multi-format restaurants, cafes, and lounges across 18 outlets in Bengaluru.",560008,$100M to $500M,2018,vrohospitality.com/,3,Dawn Thomas,Safdar Adhoor,Sharath Rice,501-1000,4,—,"Jan 2, 2024","$10,000,000",Venture - Series Unknown,"$13,033,836",Axis Bank,Gruhas,Kunal Shah,UC Inclusive Credit,NB Ventures,8
Khatabook,Accounting,Financial Services,Bangalore,Karnataka,Khatabook is the fintech startup that provides a digital ledger app targeted primarily at small businesses.,560102,$10M to $50M,2018,khatabook.com,5,Ashish Sonone,Dhanesh Kumar,Jaideep Poonia,101-250,5,Late Stage Venture,"Aug 24, 2021","₹7,430,000,000",Series C,"$186,708,974",Tencent,Titan Capital,Y Combinator,Alpha Wave Global,Surge,41
Toothsi,Dental,Health Care,Mumbai,Maharashtra,Toothsi provides clear aligners and oral care products to help straighten teeth and improve oral health.,400083,$10M to $50M,2018,toothsi.in,4,Anirudha Kale,Arpi Mehta,Manjul Jain,501-1000,5,Late Stage Venture,"May 1, 2022","$40,000,000",Series C,"$86,993,947",IIFL Finance,Eight Roads Ventures,Stride Ventures,Ramakant Sharma,Paramark Ventures,17
CRED,Credit Cards,Financial Services,Bangalore,Karnataka,CRED is a fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,560038,$100M to $500M,2018,www.cred.club,1,Kunal Shah,,,501-1000,9,Late Stage Venture,"Jun 9, 2022","₹6,170,000,000",Series F,"$801,492,149",General Catalyst,Rainmatter Capital,Insight Partners,Alpha Wave Global,Hillhouse Investment,33
Grow Indigo,Agriculture,AgTech,Mumbai,Maharashtra,Grow Indigo develops a digital platform that provides biological and digital solutions to farmers for agriculture.,—,—,2018,www.growindigo.co.in,—,,,,251-500,2,—,"Jan 27, 2024","₹670,000,000",Venture - Series Unknown,"$14,060,858",Indigo,Mahyco Seeds Ltd.,,,,2
Snitch,Fashion,Marketing,Bangalore,Karnataka,Snitch is a men's fast fashion clothing brand that primarily sells its products online.,560027,$10M to $50M,2018,www.snitch.co.in,1,Siddharth Dungarwal,,,Nov-50,2,Early Stage Venture,"Dec 13, 2023","₹1,100,000,000",Series A,"₹1,115,000,000",IvyCap Ventures,SWC Global,Anupam Mittal,Aman Gupta,Peyush Bansal,8
Riskcovry,Insurance,InsurTech,Juhu,Maharashtra,Riskcovry is a SaaS platform that distributes insurance products for businesses and individuals.,400049,$1M to $10M,2018,riskcovry.com,—,—,4,",,,",https://www.crunchbase.com/person/sorabh-bhandari-729e,https://www.crunchbase.com/person/suvendu-prusty-131d,https://www.crunchbase.com/person/vidya-sridharan-5738,101-250,4,—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/riskcovry,Venture - Series Unknown,"₹739,000,000",",,,,",https://www.crunchbase.com/organization/iifl,https://www.crunchbase.com/organization/omidyar-network-india-050e,https://www.crunchbase.com/organization/varanium-capital
Mobile Premier League,eSports,Gaming,Bengaluru,Karnataka,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,560103,$500M to $1B,2018,www.mpl.live,3,Sai Srinivas Kiran G,Shubh Malhotra,Shubham Malhotra,251-500,6,Late Stage Venture,"Sep 15, 2021","$150,000,000",Series E,"$375,500,000",Gaingels,Sequoia Capital,MDI Ventures,Pegasus Tech Ventures,Telstra Ventures,21
INDmoney,Financial Services,FinTech,Gurgaon,Haryana,INDmoney is a mobile app that consolidates and manages finances in one place.,122005,$10M to $50M,2018,www.indmoney.com,1,Ashish Kashyap,,,251-500,5,Late Stage Venture,"Mar 28, 2022","$11,000,000",Series D,"$153,891,230",Tiger Global Management,Dragoneer Investment Group,Steadview Capital,Ashish Kashyap,Peyush Bansal,11
Lokal,Communities,Content,Bengaluru,Karnataka,"Lokal is a hyperlocal social media platform that enables users to share, interact and transact in their regional language.",560095,$1M to $10M,2018,www.getlokalapp.com,2,Jani Pasha,Vipul Chaudhary,,101-250,7,Early Stage Venture,"Apr 25, 2023","₹1,200,000,000",Series B,"$29,785,602",Tencent,Global Brain Corporation,Google for Startups,Y Combinator,Soma Capital,13
Plix Life,Fitness,Health Care,Mumbai,Maharashtra,Plix creates plant based nutritional foods to maximise efforts made for the body.,400012,$1M to $10M,2018,www.plixlife.com,2,Akash Zaveri,Rishubh Satiya,,101-250,1,M&A,"Dec 15, 2021","₹380,000,000",Series A,"₹380,000,000",Guild Capital,RPSG Capital Ventures,,,,2
Neemans,E-Commerce,Fashion,Hyderabad,Andhra Pradesh,Neemans is a footwear startup that offers natural fiber footwear for men and women.,500082,$1M to $10M,2018,neemans.com/,2,Amar Preet Singh,Taran Chhabra,,51-100,4,Early Stage Venture,"Jun 2, 2022","₹400,000,000",Series B,"$9,797,754",Stride Ventures,Anicut Capital,Sixth Sense Ventures,Ashvin Chadha,Dominor Investment,10
Redcliffe Labs,Emergency Medicine,Health Care,Noida,Uttar Pradesh,Redcliffe is a diagnostics service provider that offers radiology and pathology services.,201301,$50M to $100M,2018,redcliffelabs.com,3,Aditya Kandoi,Ashish Dubey,Dheeraj Jain,1001-5000,5,—,"Feb 21, 2023",—,Venture - Series Unknown,"$107,933,880",LeapFrog Investments,Y Combinator,Rebel Fund,VU Venture Partners,Schroders,13
Cashinvoice,Digital Marketing,Financial Services,Mumbai,Maharashtra,Cashinvoice is a fintech provider for supply chain financing.,—,$1M to $10M,"Jan 1, 2018",cashinvoice.in,3,Arun Poojari,Joicy Chakola,Shrinivas Kasar,Nov-50,2,Early Stage Venture,"Feb 7, 2024","₹282,000,000",Series A,"$4,398,348",HDFC Bank,Accion Venture Lab,Pravega Ventures,,,3
Skye Air Mobility,Delivery Service,Drones,New Delhi,Delhi,Skye Air Mobility is a leading drone delivery tech firm.,110037,$1M to $10M,2018,skyeair.tech,—,,,,01-Oct,1,Seed,"Nov 9, 2022","₹139,000,000",Seed,"₹139,000,000",LetsVenture,Agility Ventures,Chiratae Ventures,Ankit Nagori,Lead Angels Network,10
