company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Jana Small Finance Bank,Finance,Financial Services,Bangalore,Karnataka,Janalakshmi Financial Services is a for-profit NBFC serving the urban underserved.,560 027,$500M to $1B,2006,www.janabank.com/,1,Ramesh Ramanathan,10001,15,IPO,"Jun 28, 2023","₹ 5,60,00,00,000.00",Private Equity,"$ 70,25,24,621.00",Morgan Stanley,TPG,Northern Arc,International Finance Corporation,HarbourVest Partners,23
Dream11,Fantasy Sports,Mobile,Bandra,Maharashtra,Dream11 operates as a sports technology platform.,400 051,$10M to $50M,2008,www.dream11.com,—,,501-1000,8,—,"Nov 24, 2021","₹ 62,25,00,00,000.00",Venture - Series Unknown,"$ 1,61,89,88,532.00",Tencent,TPG,TCV,Tiger Global Management,Chrys Capital,15
VVDN Technologies,Cloud Management,Information Technology,Gurgaon,Haryana,"VVDN Technologies provides product engineering, design, and manufacturing services for OEMs and other technology companies.",122050,$50M to $100M,"Apr 26, 2007",www.vvdntech.com,2,Bhupender Saharan,1001-5000,5,—,"Feb 19, 2024",—,Venture - Series Unknown,"₹ 5,00,00,00,000.00",Applied Ventures,Motilal Oswal Private Equity,Tessellate Ventures,,,3
MoveInSync,Enterprise Software,Information Technology,Bangalore,Karnataka,MoveInSync is in the business of organizing transportation.,560102,$1M to $10M,2009,www.moveinsync.com/,3,Akash Maheshwari,251-500,5,Late Stage Venture,"Jan 29, 2024","₹ 1,25,00,00,000.00",Series C,"$ 2,70,34,286.00",Bessemer Venture Partners,Qualcomm Ventures,Nexus Venture Partners,InnoVen Capital,Athera Venture Partners,7
Practo,Health Care,Health Diagnostics,Bangalore,Karnataka,"Practo is an mhealth platform that connects patients with healthcare providers through booking appointments, check-ups, and consultations.",560076,$10M to $50M,2008,www.practo.com/,2,Abhinav Lal,5001-10000,7,Late Stage Venture,"Aug 15, 2020","$ 3,20,00,000.00",Series D,"$ 22,82,46,376.00",Tencent,Sequoia Capital,Matrix Partners India,Thrive Capital,InnoVen Capital,14
InMobi,Advertising,Advertising Platforms,Bangalore,Karnataka,InMobi develops an advertisement serving algorithm that helps in optimizing the ranking of the advertisements served on mobile phones.,560103,$10M to $50M,Jan-07,www.inmobi.com,5,Abhay Singhal,501-1000,8,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 32,06,00,000.00",Hercules Capital,TriplePoint Capital,Silicon Valley Bank,Kleiner Perkins,Mumbai Angels,10
ideaForge,Drones,Mapping Services,Mumbai,Maharashtra,"IdeaForge is a drone manucaturing company for mapping, security, and surveillance applications.",400076,$1B to $10B,"Feb 8, 2007",www.ideaforge.co.in,4,Ankit Mehta,251-500,11,—,"Jun 15, 2023","₹ 60,00,00,000.00",Venture - Series Unknown,"$ 4,56,88,164.00",HDFC Bank,Mirae Asset,Goldman Sachs,BlackSoil,Infosys,24
BlackSoil,Banking,Finance,Mumbai,Maharashtra,Blacksoil Advisory is an independent boutique advisory firm that provides consultation and financing resources.,400013,$1M to $10M,2010,www.blacksoil.co.in,2,Ankur Bansal,Nov-50,6,—,"Apr 4, 2023","₹ 2,05,00,00,000.00",Venture - Series Unknown,"$ 6,27,26,069.00",,,,,,—
Reliance Retail,Consumer Goods,Grocery,Mumbai,Maharashtra,"Reliance Retail operates a chain of neighborhood stores, supermarkets, and specialty stores.",400 002,$10B+,2006,relianceretail.com,1,Mukesh Ambani,10001,9,Private Equity,"Oct 6, 2023","$ 60,00,00,000.00",Private Equity,"$ 8,27,16,68,036.00",Silver Lake,Saudi Arabia's Public Investment Fund,TPG,GIC,General Atlantic,9
Akshayakalpa,Agriculture,Farming,Tiptur,Karnataka,"Akshayakalpa is an organic food company that manufactures, sells, and markets organic milk products.",572202,$10M to $50M,2010,akshayakalpa.org,2,Dr. G.N.S. Reddy,251-500,4,Late Stage Venture,"Jan 10, 2024","₹ 1,00,00,00,000.00",Series C,"$ 3,09,44,154.00",Rainmatter Capital,British International Investment,A91 Partners,Lok Capital,Rainmatter Foundation,5
