Company Name,Funding Round,Amount,Date,RupeesAmount
"Sharekhan Limited, India",Debt Financing,"$176,000,000","Aug 1, 2007",13200000000
Mauj Mobile,Venture - Series Unknown,"$10,000,000","Feb 23, 2006",750000000
SSI Education,Private Equity,"$75,000,000","Dec 1, 2003",5625000000
Lotus Eye Hospital and Institute,Venture - Series Unknown,—,"Jan 1, 2008",0
Ziqitza Health Care,Series A,"$1,500,000","Mar 7, 2007",112500000
Marwadi Shares and Finance,Venture - Series Unknown,"₹396,000,000","Mar 27, 2007",396000000
Reva,Private Equity,—,"Nov 1, 2006",0
ApnaPaisa,Series B,"$15,000,000","Dec 1, 2007",1125000000
Ksl & Industries,Venture - Series Unknown,—,"Nov 1, 2007",0
Studyplaces,Series A,"$3,000,000","Jan 1, 2008",225000000
Triumphant Institute of Management Education,Venture - Series Unknown,"₹450,000,000","Jan 1, 2008",450000000
Achievo,Series A,"$3,555,000","Sep 25, 2002",266625000
Affle,Series A,—,"Nov 1, 2006",0
Chalet Hotels,Private Equity,"₹500,000,000","Mar 23, 2005",500000000
GTL Infrastructure,Post-IPO Equity,—,"Nov 1, 2007",0
Tebma Shipyards,Venture - Series Unknown,—,"Feb 1, 2007",0
LT Foods,Venture - Series Unknown,—,"Jul 5, 2006",0
Sudhir Power,Private Equity,"$75,000,000","Sep 27, 2007",5625000000
reQall,Seed,"$2,500,000","Mar 6, 2008",187500000
Promac Engineering Industries,Private Equity,"$8,000,000","Apr 1, 2007",600000000
Rajesh Exports,Venture - Series Unknown,—,"Dec 1, 2005",0
GMP Companies,Series A,"$17,200,000","Jan 9, 2007",1290000000
Shaadi.com,Venture - Series Unknown,"$8,000,000","Mar 10, 2006",600000000
Gokaldas Images,Venture - Series Unknown,"₹450,000,000","Jan 16, 2006",450000000
CustomerAsset,Series B,"$9,000,000","Jul 5, 2001",675000000
Equitas Holdings,Seed,"$1,500,000","Mar 1, 2008",112500000
sulekha.com,Series A,"$10,000,000","Jan 1, 2006",750000000
Kumudam,Seed,"₹17,000,000","Feb 5, 2007",17000000
Apollo Hospitals Enterprise,Post-IPO Equity,"$100,000,000","Sep 3, 2007",7500000000
TravelGuru,Venture - Series Unknown,"$15,000,000","Nov 29, 2006",1125000000
CarWale,Seed,—,"Dec 14, 2006",0
Nimbus Communications,Private Equity,"$125,000,000","Jan 22, 2007",9375000000
Accendo Technologies,Angel,"$1,560,000","Jan 25, 2005",117000000
Perfint Healthcare,Series A,"$3,500,000","Dec 1, 2007",262500000
Emergent Ventures India,Series A,"$10,040,000","Apr 6, 2008",753000000
Universal Power Transformer,Private Equity,"$15,000,000","Mar 4, 2008",1125000000
Infogile Technologies,Seed,"$20,000","May 4, 2007",1500000
Manipal Group,Private Equity,"$30,000,000","Jun 1, 2006",2250000000
Sahyadri Hospitals,Venture - Series Unknown,"₹1,400,000,000","Jan 10, 2008",1400000000
VNR Infrastructures,Venture - Series Unknown,"₹201,700,000","Mar 1, 2008",201700000
Roshini International Bio Energy,Series A,—,"Jan 1, 2007",0
ING Vysya Bank,Post-IPO Equity,—,"Jun 26, 2005",0
Myntra,Seed,—,"Jan 1, 2007",0
SMC Global Securities,Venture - Series Unknown,—,"Apr 14, 2008",0
iYogi,Series B,"$9,500,000","Jul 1, 2008",712500000
Air Works India Engineering,Series A,"$25,000,000","Jan 1, 2007",1875000000
Ritesh Properties and Industries,Post-IPO Equity,—,"Dec 14, 2007",0
OSIAN,Venture - Series Unknown,—,"Nov 15, 2005",0
SLEEPINS,Venture - Series Unknown,—,"Oct 8, 2007",0
Orb Energy,Private Equity,—,"Aug 1, 2006",0
Bajaj Motors,Private Equity,"$12,000,000","Mar 31, 2007",900000000
Suvidhaa,Seed,—,"Dec 1, 2007",0
Littlefeet Inc.,Series C,"$25,000,000","Nov 1, 2002",1875000000
SORIL Infra Resources,Venture - Series Unknown,—,"Aug 30, 2005",0
Quikjet,Venture - Series Unknown,"$16,600,000","Feb 1, 2008",1245000000
SpiceJet Limited,Post-IPO Equity,—,"Jan 30, 2006",0
The Times Of India,Venture - Series Unknown,"$10,000,000","Jun 29, 2006",750000000
TutorVista,Venture - Series Unknown,"$18,000,000","Jul 24, 2008",1350000000
Lodha Group,Venture - Series Unknown,—,"Oct 15, 2006",0
HPL Additives,Private Equity,"$10,000,000","Nov 1, 2005",750000000
Enpocket,Series A,"$700,000","Aug 19, 2002",52500000
24 Mantra Organic,Seed,"$1,263,360","Mar 1, 2007",94752000
LeCroy,Private Equity,—,"Mar 1, 1995",0
Pratibha Syntex,Private Equity,"₹825,000,000","May 1, 2007",825000000
Crossword Bookstores,Venture - Series Unknown,"₹10,000,000","Jul 1, 2000",10000000
TutorVista,Series A,"$2,000,000","Jun 12, 2006",150000000
B Natural,Venture - Series Unknown,"₹50,000,000","Dec 1, 2007",50000000
Tecpro AshTech,Private Equity,—,"Oct 1, 2007",0
City Union Bank,Post-IPO Equity,"₹450,000,000","Dec 1, 2006",450000000
DMD Industries,Debt Financing,—,"Mar 1, 2002",0
CUGL,Private Equity,"₹300,000,000","Dec 1, 2006",300000000
Vijayawada Tollway Private Ltd,Private Equity,—,"Apr 1, 2008",0
KMC Constructions Limited,Private Equity,"$35,000,000","Jan 1, 2007",2625000000
S. R. Creations,Seed,"$60,000","Jan 25, 2008",4500000
mobME Solutions,Angel,"$200,000","Jun 1, 2007",15000000
Zapaq,Series A,"$6,000,000","Mar 19, 2004",450000000
Fortel,Series A,—,"Mar 21, 2000",0
G.E.T. Power,Private Equity,—,"Jan 1, 2005",0
Maneesh Pharmaceuticals,Venture - Series Unknown,"₹393,000,000","Aug 1, 2006",393000000
Refex Industries,Venture - Series Unknown,—,"Aug 1, 2006",0
Connect M Solutions,Series A,"$6,000,000","Jun 27, 2007",450000000
Bakelite Hylam,Private Equity,"₹15,300,000","Jul 1, 2006",15300000
DreamTeam Technologies,Seed,—,"Apr 1, 2006",0
Mobile2win,Venture - Series Unknown,"$15,000,000","Nov 13, 2006",1125000000
Dash,Series C,"$6,000,000","Feb 4, 2000",450000000
Numex,Venture - Series Unknown,"$3,000,000","Feb 15, 2000",225000000
Raja Rani Travels Pvt Ltd,Venture - Series Unknown,—,"Feb 1, 2006",0
ERisk,Series B,"$10,000,000","Feb 5, 2001",750000000
Eximsoft Technologies,Venture - Series Unknown,"$14,000,000","Jan 16, 2007",1050000000
Webdunia,Series B,"$3,000,000","Apr 3, 2002",225000000
Polar Industries,Post-IPO Equity,"₹4,600,000","Jun 1, 2008",4600000
OnMobile,Series A,"$15,000,000","Jan 1, 2000",1125000000
e-Security,Venture - Series Unknown,"$10,000,000","Nov 4, 2002",750000000
IndusInd Media & Communications,Private Equity,"₹10,000,000","Apr 25, 2000",10000000
Navayuga Engineering Company Ltd,Private Equity,"$44,400,000","Nov 1, 2006",3330000000
Lok Group,Post-IPO Equity,—,"Nov 1, 2007",0
obopay,Series B,"$7,000,000","Sep 1, 2006",525000000
ICICI OneSource,Private Equity,—,"Jul 1, 2004",0
Spandana Sphoorty Financial Limited,Venture - Series Unknown,—,"Aug 1, 2007",0
GUPTA TUTORIALS INDORE PRIVATE LIMITED,Series A,"$250,000","Apr 25, 2008",18750000
GAP Miners,Seed,"$500,000","Jan 1, 2008",37500000
Minglebox,Series A,"$7,000,000","May 1, 2007",525000000
Novatium,Venture - Series Unknown,—,"Sep 21, 2007",0
Glenmark Pharmaceuticals,Private Equity,"$48,000,000","Jul 1, 2002",3600000000
TechAxes,Venture - Series Unknown,—,"Aug 10, 2006",0
Bang Overseas,Venture - Series Unknown,—,"Feb 12, 2008",0
Stovekraft,Series A,"₹220,000,000","Jan 1, 2007",220000000
Achievo,Series C,"$13,991,000","Jun 6, 2008",1049325000
Purvanchal Group,Venture - Series Unknown,—,"Jun 18, 2008",0
authorGEN,Angel,—,"Dec 1, 2006",0
Cambridge Information Technology India,Funding Round,"$1,000,000","Jan 1, 1996",75000000
Moser Baer,Private Equity,—,"Dec 1, 1998",0
obopay,Series A,"$10,000,000","Mar 8, 2006",750000000
John Energy,Venture - Series Unknown,"$11,000,000","Oct 1, 2006",825000000
Indo Shell Mould,Venture - Series Unknown,"₹157,200,000","Feb 1, 2006",157200000
LINERS INDIA,Venture - Series Unknown,"₹58,000,000","Dec 1, 2005",58000000
Littlefeet Inc.,Series B,"$25,000,000","Jun 1, 2000",1875000000
Aasan Industries,Private Equity,"€2,000,000","Sep 18, 2005",0
Attero,Seed,"$2,500,000","Apr 18, 2008",187500000
AtYourPrice,Seed,—,"Jan 31, 2008",0
KSK Power Venture,Private Equity,"$97,430,000","Jun 16, 2008",7307250000
DB Realty,Venture - Series Unknown,—,"Nov 1, 2007",0
Mom Junction,Series A,"$1,500,000","Jan 5, 2007",112500000
Trident Microfin,Venture - Series Unknown,"₹18,100,000","Jan 1, 2008",18100000
IBS Software Services,Private Equity,"$53,500,000","Jul 26, 2007",4012500000
Flexituff International,Private Equity,—,"Jan 1, 2007",0
Hydroair Tectonics (PCD),Series A,"$1,200,000","Jun 2, 2006",90000000
RICHFEEL,Venture - Series Unknown,—,"Sep 1, 2006",0
e-Security,Series C,"$5,000,000","May 26, 2004",375000000
Rane Holdings,Post-IPO Equity,"$4,700,000","Sep 2, 2007",352500000
Evoma,Venture - Series Unknown,"₹276,300,000","Dec 1, 2007",276300000
Tsunami Research,Series A,"$5,500,000","Jan 12, 2004",412500000
Kreeda Games,Venture - Series Unknown,"$10,000,000","Jul 13, 2007",750000000
Nanavati Group,Venture - Series Unknown,"₹250,000,000","Jul 1, 2007",250000000
PV Technologies India,Private Equity,"$100,000,000","Jan 1, 2007",7500000000
International Recreation Parks,Private Equity,"₹750,000,000","Jul 5, 2006",750000000
SSI Education,Private Equity,"$20,000,000","Feb 1, 2003",1500000000
Suksh Tech.,Angel,"$1,500,000","May 1, 2008",112500000
Mahindra REVA,Series B,"$24,000,000","May 2, 2008",1800000000
Cleartrip,Venture - Series Unknown,"$3,000,000","Jan 1, 2006",225000000
JHS Svendgaard Laboratories,Venture - Series Unknown,—,"Sep 1, 2006",0
Elpro Energy Dimensions,Venture - Series Unknown,"$100,000","May 28, 2005",7500000
SatNav Technologies,Series A,"$7,000,000","May 14, 2008",525000000
Indian Oil Tanking,Private Equity,"$5,000,000","Jul 1, 2004",375000000
Manthan,Seed,"$700,000","Jan 5, 2005",52500000
Today's Writing Instruments,Post-IPO Equity,—,"Aug 1, 2005",0
Delhi Airport,Private Equity,"₹955,555,555","Mar 1, 2006",955555555
Gokaldas Exports,Post-IPO Equity,"$116,000,000","Aug 20, 2007",8700000000
Milacron India,Private Equity,—,"May 1, 2005",0
STEER Engineering,Venture - Series Unknown,"₹273,000,000","Dec 1, 2007",273000000
VJive,Venture - Series Unknown,"$22,600,000","Jan 4, 2007",1695000000
Bajaj Auto Finance,Private Equity,"₹450,000,000","Feb 23, 2006",450000000
Action Construction Equipment Ltd.,Venture - Series Unknown,—,"Aug 30, 2005",0
Territorial Prescience,Private Equity,—,"May 11, 2007",0
AgentGO,Venture - Series Unknown,"$2,000,000","May 3, 2000",150000000
Shakti Office,Venture - Series Unknown,"₹2,000,000","Jun 1, 2006",2000000
Jana Small Finance Bank,Series A,—,"Mar 1, 2007",0
MARG Group,Venture - Series Unknown,—,"Dec 1, 2007",0
iPolicy Networks,Series A,"$26,000,000","May 4, 2004",1950000000
24 Mantra Organic,Angel,"$89,651","Mar 1, 2006",6723825
Printo,Seed,"$1,240,000","Aug 1, 2007",93000000
Ziva Software,Venture - Series Unknown,"$1,700,000","Mar 14, 2007",127500000
Kartavya Healtheon,Venture - Series Unknown,—,"Jan 1, 2000",0
Reliable Autotech,Private Equity,"₹200,000,000","Apr 26, 2007",200000000
Orbster,Seed,"€500,000","Jan 1, 2008",0
CSB Bank,Private Equity,—,"Jul 1, 2007",0
Primus Retail,Venture - Series Unknown,"$12,000,000","Aug 27, 2007",900000000
Chiranjjeevi Wind Energy,Private Equity,"₹999,600,000","Apr 28, 2008",999600000
Indiagames,Funding Round,—,"May 5, 2005",0
Access Atlantech Technologies,Venture - Series Unknown,—,"Mar 1, 2006",0
OOH Media,Venture - Series Unknown,—,"Sep 1, 2006",0
Skelta Software,Series A,"$1,500,000","Nov 15, 2006",112500000
Walsons Services,Funding Round,—,"Nov 29, 2007",0
Infrasoft Technologies,Venture - Series Unknown,"$24,800,000","Jul 11, 2007",1860000000
Intas Pharmaceuticals,Private Equity,"$11,000,000","Jan 1, 2005",825000000
RG Stone,Private Equity,"$10,000,000","Nov 13, 2007",750000000
Quintegra Solutions,Private Equity,"$49,000,000","Oct 1, 2007",3675000000
Rupeetalk,Seed,"$260,000","Dec 1, 2007",19500000
Calorie Care,Private Equity,—,"Jun 1, 2007",0
Gingersoft Media,Venture - Series Unknown,"$2,000,000","Nov 29, 2007",150000000
Dharti,Venture - Series Unknown,—,"Mar 1, 2008",0
Shriram Transport Finance Company,Post-IPO Equity,—,"Jan 5, 2005",0
ApnaCircle Infotech,Venture - Series Unknown,—,"Apr 15, 2008",0
MedPlus,Private Equity,"₹230,000,000","Mar 22, 2007",230000000
Imperial Spirits,Venture - Series Unknown,"$4,850,000","Jun 1, 2008",363750000
Lestacworld.com - A US Based LLC,Pre-Seed,"$50,000","Jan 19, 1919",3750000
Tejas Networks India,Series E,"$24,000,000","Oct 18, 2007",1800000000
Karvy Group,Private Equity,"$110,000,000","Nov 1, 2007",8250000000
Amanora,Venture - Series Unknown,—,"Aug 2, 2007",0
Aegon Life Insurance,Venture - Series Unknown,—,"May 26, 2008",0
KPR Mill Limited,Private Equity,"₹1,050,000,000","Aug 28, 2007",1050000000
SGT,Venture - Series Unknown,"₹166,900,000","Jul 1, 2006",166900000
AuthWave Technologies,Seed,"₹43,000,000","Jul 1, 2008",43000000
KOTTED,Debt Financing,"$1,500,000","Jan 1, 2008",112500000
Real Image Media Technologies,Venture - Series Unknown,"$2,080,000","Dec 1, 2004",156000000
Hathway,Private Equity,"$60,000,000","Mar 27, 2007",4500000000
HCL Technologies,Post-IPO Equity,"$220,000,000","Jul 10, 2008",16500000000
Tata Teleservices,Post-IPO Equity,"₹26,670,000,000","Mar 6, 2006",26670000000
Excelsoft,Private Equity,"$30,000,000","Apr 1, 2008",2250000000
Renaissance Group,Private Equity,"$18,000,000","Apr 1, 2002",1350000000
Ranbaxy Laboratories,Private Equity,"$23,000,000","Sep 1, 2005",1725000000
Wipro,Post-IPO Equity,—,"Oct 1, 2006",0
The Centurion Bank of Punjab,Post-IPO Equity,"₹1,340,000,000","Jun 3, 2006",1340000000
EO.net,Venture - Series Unknown,—,"Jul 28, 2000",0
BBF Industries,Private Equity,"₹300,000,000","Feb 1, 2008",300000000
PropertyFirst.com,Series B,"$44,300,000","Nov 1, 1999",3322500000
Veta,Venture - Series Unknown,"$10,000,000","Oct 6, 2007",750000000
eGlobe,Venture - Series Unknown,"$15,000,000","Jan 31, 2000",1125000000
Extenprise,Pre-Seed,"₹10,000,000","Apr 1, 2004",10000000
Guruji,Series B,"$8,000,000","Jan 1, 2007",600000000
Pyramid Saimira,Venture - Series Unknown,—,"May 22, 2006",0
Hanung Toys & Textiles,Venture - Series Unknown,—,"Feb 11, 2006",0
Drishtee Development and Communication Ltd.,Debt Financing,"$600,000","Sep 20, 2006",45000000
Vayavya Labs,Seed,"$330,000","Dec 1, 2006",24750000
Nazara Technologies,Seed,—,"Apr 1, 2002",0
Pride Group of Hotels,Private Equity,—,"Oct 4, 2007",0
Lexsphere,Venture - Series Unknown,"₹86,900,000","May 1, 2005",86900000
Tema India,Private Equity,"$12,000,000","Apr 6, 2005",900000000
National Science & Technology Entrepreneurship Development Board,Grant,"$49,549","Oct 19, 2007",3716175
Tecpro Systems,Private Equity,—,"Jul 1, 2006",0
Shweta Buildwell,Venture - Series Unknown,—,"Jun 23, 2006",0
ERisk,Series A,"$14,500,000","Jun 27, 2000",1087500000
IceNet,Seed,"₹40,000,000","Jun 1, 2001",40000000
National Stock Exchange,Private Equity,—,"Mar 10, 2007",0
Robo Silicon,Private Equity,—,"Dec 1, 2007",0
KOTTED,Series A,"$1,000,000","Jan 1, 2006",75000000
Jubilant Life Sciences,Private Equity,—,"Jul 7, 2005",0
Wipro,Post-IPO Equity,—,"Sep 1, 2007",0
Innobits,Venture - Series Unknown,"$398,000","Nov 23, 2007",29850000
Bhilwara Energy,Private Equity,"₹1,050,000,000","Jul 3, 2007",1050000000
SIRO Clinpharm,Venture - Series Unknown,"₹150,000,000","Jun 26, 2006",150000000
Timbor Home,Venture - Series Unknown,—,"Jul 18, 2007",0
A LITTLE WORLD,Series A,"$2,000,000","Mar 1, 2007",150000000
Textual Analytics Solutions,Seed,"$250,000","Jun 18, 2008",18750000
Avesthagen,Venture - Series Unknown,"$5,530,000","May 7, 2007",414750000
Axis Bank,Post-IPO Equity,"₹3,700,000,000","Aug 31, 2006",3700000000
ABC Live,Debt Financing,"$25,000","Jan 5, 2007",1875000
iPolicy Networks,Venture - Series Unknown,"$3,000,000","Nov 3, 2006",225000000
inTarvo,Venture - Series Unknown,"$7,900,000","Oct 16, 2007",592500000
Aditya Birla Fashion and Retail,Venture - Series Unknown,—,"Mar 1, 2005",0
IndiaMART,Venture - Series Unknown,—,"Jan 1, 2007",0
UshaComm,Venture - Series Unknown,"$8,000,000","Aug 9, 2001",600000000
DRS Warehouse,Private Equity,"$75,000,000","Mar 1, 2008",5625000000
Sspdl,Post-IPO Equity,—,"Jun 1, 2007",0
Shree Ganesh Jewellery House,Venture - Series Unknown,—,"Jun 1, 2007",0
Omnitech InfoSolutions Ltd.,Venture - Series Unknown,"₹40,000,000","Jan 1, 2003",40000000
Mecklai Financial Services,Private Equity,"₹98,300,000","Jul 1, 2000",98300000
PVR Ltd,Venture - Series Unknown,"₹380,000,000","Mar 27, 2003",380000000
Green Infra Ltd.,Private Equity,—,"Jun 1, 2008",0
Jumboking,Venture - Series Unknown,"₹7,500,000","Dec 1, 2007",7500000
HDIL,Venture - Series Unknown,—,"Jan 15, 2007",0
SML Isuzu,Post-IPO Equity,—,"Jan 1, 2003",0
DCM Hyundai,Private Equity,—,"Dec 1, 1994",0
Rohini Industrial Electricals,Private Equity,—,"Apr 1, 2008",0
Ziqitza Health Care,Venture - Series Unknown,"$1,500,000","Jul 31, 2007",112500000
Rediff,Venture - Series Unknown,—,"Apr 4, 2000",0
Dixon Technologies,Venture - Series Unknown,"$9,350,000","Apr 28, 2008",701250000
Dash,Venture - Series Unknown,"$12,100,000","Jul 1, 1999",907500000
BookMyShow,Seed,—,"Jan 1, 2007",0
Birla Power Solutions,Venture - Series Unknown,—,"Sep 1, 2006",0
Zvents,Series A,"$7,000,000","Nov 7, 2006",525000000
Dr. Reddy’s Laboratories,Post-IPO Equity,"$6,000,000","Dec 1, 2001",450000000
Axpert Media,Private Equity,"₹300,000","Mar 31, 1922",300000
South Asian Petrochem,Private Equity,"$13,000,000","Dec 1, 2007",975000000
SINEWAVE,Venture - Series Unknown,—,"May 11, 2007",0
Aurangabad Electricals Limited,Private Equity,"₹451,200,000","Mar 1, 2006",451200000
Fairkraft Creations,Venture - Series Unknown,"₹121,200,000","Aug 13, 2007",121200000
Nazara Technologies,Series A,"$1,500,000","Oct 19, 2005",112500000
Nazara Technologies,Series B,"$7,000,000","Dec 27, 2007",525000000
Mars Hospitality Group,Venture - Series Unknown,"₹148,500,000","Dec 1, 2001",148500000
Asianet Communications,Private Equity,"₹66,000,000","Mar 1, 2005",66000000
Triesta Sciences,Venture - Series Unknown,"₹4,400,000","Jan 1, 2006",4400000
Beacon Hotels,Venture - Series Unknown,—,"Sep 1, 2007",0
Oriental Cuisines Pvt Ltd.,Private Equity,"$20,000,000","Jan 1, 2007",1500000000
mobME Solutions,Angel,"$200,000","Dec 1, 2006",15000000
Larsen & Toubro,Private Equity,—,"Feb 1, 2006",0
Escorts,Post-IPO Equity,"₹750,000,000","Mar 26, 2007",750000000
Financial Software & Systems,Series B,"$10,000,000","Mar 5, 2004",750000000
International Print - O - Pac Limited,Private Equity,"$12,000,000","Jan 7, 2007",900000000
Gobardanga Charulata,Venture - Series Unknown,—,"May 15, 1990",0
Axis Bank,Post-IPO Equity,"₹1,700,000,000","Oct 8, 2003",1700000000
Granules India,Post-IPO Equity,—,"Sep 1, 2005",0
IIHT,Venture - Series Unknown,—,"Nov 1, 2005",0
Ittiam Systems (Pvt),Series A,"$5,000,000","Jan 1, 2001",375000000
Cleartrip,Venture - Series Unknown,"$8,000,000","Dec 12, 2006",600000000
Meru Cabs,Venture - Series Unknown,—,"Feb 1, 2007",0
Netmagic Solutions,Series B,"$20,000,000","Feb 12, 2008",1500000000
Kreeda Games,Series B,"$1,500,000","Jun 1, 2008",112500000
SSI Education,Private Equity,"$185,000,000","Dec 1, 2007",13875000000
Drishtee Development and Communication Ltd.,Seed,"$1,000,000","Sep 20, 2006",75000000
Celetron International,Private Equity,"$48,000,000","May 22, 2001",3600000000
Mahindra Rise,Post-IPO Equity,—,"Feb 1, 2008",0
Plexion Technologies,Pre-Seed,"₹10,000,000","Jan 1, 2000",10000000
Deccan Charters,Venture - Series Unknown,—,"Apr 22, 2006",0
Pride Purple Group,Venture - Series Unknown,—,"Apr 11, 2007",0
Tejas Networks India,Series B,"$6,600,000","Feb 11, 2002",495000000
Hythro Power Corp,Private Equity,—,"Jan 1, 2005",0
Thyrocare Technologies,Venture - Series Unknown,—,"May 30, 2006",0
Indo Schöttle,Venture - Series Unknown,"₹560,200,000","Jul 1, 2008",560200000
