Company,Funding Round,Amount,Date,RupeesAmount
Dream Sports,Secondary Market,"$400,000,000","Mar 24, 2021",30000000000
Reliance Jio,Private Equity,"$4,618,000,000","May 8, 2020",346350000000
ClearTrust,Seed,"$200,000","Jan 1, 2021",15000000
Reliance Jio,Private Equity,"₹371,318,000,000","Jun 13, 2020",371318000000
Ergos,Series A,"₹810,000,000","Feb 8, 2021",810000000
InMobi,Debt Financing,—,"Jan 1, 2014",0
Voosh Software technologies,Pre-Seed,—,"Dec 22, 2020",0
Parcel,Seed,"$2,500,000","Sep 21, 2021",187500000
Shriram Transport Finance Company,Post-IPO Debt,"$420,000,000","Dec 1, 2008",31500000000
Shriram Transport Finance Company,Post-IPO Debt,"$490,000,000","Sep 1, 2010",36750000000
Sapphire Systems,Private Equity,—,"Jan 5, 2020",0
AU Small Finance Bank,Debt Financing,"$20,000,000","Mar 1, 2013",1500000000
Redwing,Seed,"$1,000,000","Feb 15, 2021",75000000
Polkarare,Seed,"$2,000,000","Apr 29, 2021",150000000
Rapidor,Non-equity Assistance,—,"Oct 17, 2019",0
Apiria Technology,Non-equity Assistance,—,"Oct 17, 2019",0
Minko,Non-equity Assistance,—,"Oct 17, 2019",0
Swipez,Non-equity Assistance,—,"Oct 17, 2019",0
Wearberry,Non-equity Assistance,—,"Oct 17, 2019",0
CloudNBFC,Non-equity Assistance,—,"Oct 17, 2019",0
Xane.ai,Non-equity Assistance,—,"Feb 17, 2021",0
DROR,Non-equity Assistance,—,"Feb 17, 2021",0
Wellversed,Non-equity Assistance,—,"Feb 17, 2021",0
Xtracap Fintech,Non-equity Assistance,—,"Feb 17, 2021",0
Fingage,Non-equity Assistance,—,"Oct 17, 2019",0
Hiper Automotive,Non-equity Assistance,—,"Jan 28, 2021",0
ZedBlox,Non-equity Assistance,—,"Jan 28, 2021",0
ENHANCE HEAD NECK REHABILITATION,Non-equity Assistance,—,"Jan 28, 2021",0
Dubverse,Non-equity Assistance,—,"Jan 28, 2021",0
RecordBook,Non-equity Assistance,—,"Jan 28, 2021",0
Taskmonk,Non-equity Assistance,—,"Jul 20, 2020",0
eShipz,Non-equity Assistance,—,"Dec 20, 2019",0
SpiderG,Non-equity Assistance,—,"Dec 20, 2019",0
Shoppre.com,Non-equity Assistance,—,"Dec 20, 2019",0
Vicara,Non-equity Assistance,—,"Jul 20, 2020",0
Legistify,Non-equity Assistance,—,"Jul 20, 2020",0
The Cultor,Non-equity Assistance,—,"Feb 17, 2021",0
Eatabl,Non-equity Assistance,—,"Dec 20, 2019",0
qZense Labs,Non-equity Assistance,—,"Dec 20, 2019",0
Plutomen,Non-equity Assistance,—,"Jul 20, 2020",0
Krishitantra,Non-equity Assistance,—,"Jan 28, 2021",0
Vadootv,Non-equity Assistance,—,"Jul 20, 2020",0
Dozee,Non-equity Assistance,—,"Jul 20, 2020",0
Embright Infotech,Non-equity Assistance,—,"Jan 28, 2021",0
Aerchain,Non-equity Assistance,—,"Dec 20, 2019",0
Aikenist,Non-equity Assistance,—,"Jan 28, 2021",0
30M Genomics,Non-equity Assistance,—,"Jan 28, 2021",0
Aikaan Lab Pvt Ltd,Non-equity Assistance,—,"Jul 20, 2020",0
Namdev Finvest,Series A,"₹350,000,000","Sep 25, 2021",350000000
AU Small Finance Bank,Debt Financing,"$42,400,000","Mar 1, 2017",3180000000
Black Eye Technologies,Seed,"₹300,000","Aug 17, 2021",300000
Cleardekho,Seed,"$2,000,000","Jan 9, 2020",150000000
Avenue Supermarts (D-Mart ),Private Equity,"₹5,610,000,000","Mar 7, 2017",5610000000
Sterlite Power,Private Equity,—,"Mar 1, 2021",0
Enzen Global Solutions,Private Equity,—,"Jul 23, 2014",0
Origo Commodities,Debt Financing,"$20,000,000","Oct 5, 2021",1500000000
Ujjivan Financial Services,Venture - Series Unknown,"₹300,000,000","Feb 6, 2016",300000000
UpGrad,Venture - Series Unknown,"$120,000,000","Apr 26, 2021",9000000000
Ashv Finance,Series D,"$3,500,000","Jan 1, 2018",262500000
Intelisa,Seed,"$210,000","May 17, 2020",15750000
Milesmate,Seed,—,"Jan 1, 2021",0
Drishta,Seed,—,"Jan 1, 2021",0
Qbit Supply Chain,Seed,—,"Jan 1, 2021",0
Wellbeing Nutrition,Grant,"$100,000","Aug 16, 2021",7500000
Slurrp Farm,Grant,"$100,000","Aug 16, 2021",7500000
Sirona Hygiene,Grant,"$100,000","Aug 16, 2021",7500000
Orange Health Labs,Seed,"$125,000","Aug 24, 2020",9375000
LoveLocal (formerly m.Paani),Series B,"₹1,430,000,000","Oct 28, 2021",1430000000
LLMate,Pre-Seed,"$271,170","Jun 30, 2021",20337750
Kinderpass,Seed,—,"Jan 1, 2018",0
Craftsman Automation,Venture - Series Unknown,"₹850,000,000","Aug 1, 2012",850000000
Prime Focus,Venture - Series Unknown,—,"Nov 1, 2012",0
TBO Group,Venture - Series Unknown,—,"Sep 1, 2018",0
GreenPod Labs,Non-equity Assistance,—,"Jan 1, 2021",0
Padcare Labs,Non-equity Assistance,—,"Jan 1, 2020",0
codedamn,Pre-Seed,"$175,000","Jul 8, 2021",13125000
KisanKraft,Angel,"$40,000","Jan 1, 2006",3000000
FXDX,Seed,"$570,000","Sep 29, 2021",42750000
MaxByte Technologies,Venture - Series Unknown,—,"Oct 23, 2019",0
Utkarsh Small Finance Bank,Debt Financing,"$22,090,000","Jan 1, 2017",1656750000
Utkarsh Small Finance Bank,Venture - Series Unknown,"$10,610,000","Dec 1, 2014",795750000
Utkarsh Small Finance Bank,Venture - Series Unknown,"$3,280,000","Nov 1, 2017",246000000
AvalonMeta Ventures,Seed,"$50,000","May 25, 2021",3750000
Tata Capital,Debt Financing,"$30,000,000","Dec 1, 2020",2250000000
Roserve,Debt Financing,"$9,750,000","Dec 1, 2019",731250000
GoApptiv,Pre-Seed,—,"Mar 1, 2016",0
BigBasket,Venture - Series Unknown,"$11,600,000","Jul 1, 2021",870000000
Rainbow Hospitals,Debt Financing,"$14,950,000","Aug 1, 2016",1121250000
Jyoti International Foods,Private Equity,"₹1,070,000,000","Jun 23, 2020",1070000000
56,Pre-Seed,—,"Aug 9, 2021",0
Narayana Hrudayalaya,Post-IPO Debt,"$1,250,000","Oct 1, 2018",93750000
Manipal Group,Venture - Series Unknown,"$58,900,000","Jan 1, 2017",4417500000
The Sanmar Group,Venture - Series Unknown,"$300,000,000","Apr 8, 2016",22500000000
The Sanmar Group,Debt Financing,—,"Apr 8, 2016",0
RBL Bank,Post-IPO Equity,"$11,570,000","Aug 1, 2020",867750000
Nestroots,Seed,"$100,000","Jul 2, 2021",7500000
Osam Dairy,Venture - Series Unknown,"$7,920,000","Jun 1, 2019",594000000
Green Infra Ltd.,Private Equity,"$24,930,000","Oct 1, 2013",1869750000
HealthCare Global Enterprises.,Venture - Series Unknown,"$5,250,000","Jun 1, 2017",393750000
IIFL Finance,Post-IPO Debt,"$150,080,000","Sep 1, 2016",11256000000
ZeoAuto,Seed,"$1,000,000","Apr 5, 2020",75000000
IIFL Finance,Post-IPO Debt,"$48,180,000","Jun 1, 2018",3613500000
VVFit Solutions,Series A,"$865,000","May 23, 2021",64875000
Fusion Microfinance,Debt Financing,"$8,160,000","Mar 1, 2021",612000000
Equitas Small Finance Bank,Debt Financing,"$18,140,000","Sep 1, 2015",1360500000
Dr Agarwal Hospitals,Debt Financing,"$30,260,000","Nov 1, 2019",2269500000
Equitas Small Finance Bank,Venture - Series Unknown,"$5,950,000","Nov 1, 2014",446250000
CARE Hospitals Group,Private Equity,"$30,000,000","Feb 1, 2016",2250000000
Equitas Small Finance Bank,Venture - Series Unknown,"$16,160,000","Dec 1, 2013",1212000000
ASA International India Microfinance,Debt Financing,"$5,440,000","Mar 1, 2021",408000000
Asirvad Microfinance,Debt Financing,"$6,800,000","Mar 1, 2021",510000000
Airtel,Post-IPO Debt,"$40,780,000","Dec 1, 2013",3058500000
Arohan Financial,Debt Financing,"$8,160,000","Mar 1, 2021",612000000
Medikabazaar,Debt Financing,"$10,000,000","Aug 1, 2021",750000000
Chaitanya,Debt Financing,"$6,800,000","Mar 1, 2021",510000000
Annapurna Finance,Debt Financing,"$8,160,000","Mar 1, 2021",612000000
NestAway,Series D,"₹349,200,000","Sep 17, 2019",349200000
Otipy,Series A,"₹760,000,000","Jul 19, 2021",760000000
Emerald Media,Funding Round,—,"Nov 3, 2015",0
Hasiru Dala Innovations,Venture - Series Unknown,—,"Apr 22, 2021",0
The Krishi,Seed,—,"Jan 1, 2021",0
Unreal finance,Seed,"$2,700,000","Jun 17, 2021",202500000
Shiprocket,Series E,"$1,400,000","Feb 2, 2021",105000000
Bodhi Health Education,Seed,—,"Apr 23, 2015",0
Uncap Research Labs,Pre-Seed,"$250,000","Oct 1, 2021",18750000
CENTA,Venture - Series Unknown,—,"Jan 1, 2020",0
Ogive Technology,Non-equity Assistance,—,"Jan 1, 2021",0
Lentra,Series A,"$11,700,000","Nov 21, 2019",877500000
Rubick.ai,Seed,"₹45,000,000","Aug 18, 2020",45000000
Lattice Innovations,Seed,—,"Jan 1, 2016",0
Borosil Renewables,Post-IPO Equity,"₹2,000,000,000","Dec 18, 2020",2000000000
Shiprocket,Series C,"$13,000,000","May 11, 2020",975000000
Cygni Energy,Seed,"₹100,000,000","Jun 24, 2016",100000000
Darwinbox,Venture - Series Unknown,—,"Jan 27, 2021",0
WEICL Investments,Private Equity,—,"Mar 5, 2014",0
Muse Diagnostics,Pre-Seed,—,"Jun 26, 2020",0
WEICL Investments,Private Equity,—,"Mar 7, 2013",0
Labhya,Venture - Series Unknown,—,"Jan 1, 2020",0
INDUSaction,Venture - Series Unknown,—,"Jan 1, 2016",0
Fitbee,Private Equity,—,"Aug 7, 2020",0
WEICL Investments,Private Equity,—,"Dec 12, 2016",0
WEICL Investments,Private Equity,—,"Mar 23, 2018",0
WEICL Investments,Private Equity,—,"Dec 18, 2017",0
Peepul,Venture - Series Unknown,—,"Jan 1, 2020",0
SUN Mobility,Venture - Series Unknown,—,"Jan 1, 2019",0
Annapurna Finance,Venture - Series Unknown,"₹9,990,000","Mar 2, 2016",9990000
Parcel,Pre-Seed,"$500,000","Jan 1, 2021",37500000
The/Nudge Foundation,Venture - Series Unknown,—,"Jan 1, 2018",0
